...1,DOI,Title,trimmed_title,CombinedCites,CombinedAuthors,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,DOI_missing,CitationURL,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,Journal,row_id,JournalAbbr,ZoteroKey,PDFPath,primary_category,secondary_category,macro_micro_level,justification,Experimental,Causal_Inference,Descriptive_Correlational,Theoretical,Methodological,Review_Meta_analysis,Other
1,10.1037/pspi0000226,Conduct and Reporting of Research,Conduct and Reporting of Research,0,CW Leach,2021,Journal of Personality and Social Psychology,psycnet.apa.org,https://psycnet.apa.org/doiLanding?doi=10.1037/pspi0000226,NA,145,FALSE,NA,0,0,0,1,4,"Methods and statistics serve to guide (inherently uncertain) inference by working as forms of principled argument (Abelson, 1995). Power analysis, effect size, and confidence intervals …",NA,"https://scholar.google.com/scholar?q=related:M7LpTEJHl6EJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021",Journal of Personality and Social Psychology,1,JPSP,XUP2A7A5,/Users/haleylam/Zotero/storage/QXWL7GF3/Leach - 2021 - Editorial.pdf,Other,NA,non-individual data,"The text is an editorial discussing the state, goals, and editorial policies of a journal rather than reporting empirical research. It does not present original data, experimental manipulation, causal inference methods, or descriptive analyses. Instead, it focuses on principles, guidelines, and the editorial team, fitting the 'Other' category.",0,0,0,0,0,0,1
2,10.1037/pspp0000136,The incremental validity of average state self-reports over global self-reports of personality.,The incremental validity of average state self-reports over global self-reports,76,"KM Finnigan, S Vazire",2018,… of Personality and Social Psychology,psycnet.apa.org,https://psycnet.apa.org/record/2017-10511-001,"https://scholar.google.com/scholar?cites=13840019600688464401&as_sdt=2005&sciodt=0,5&hl=en",39,TRUE,NA,76,10.857142857142858,38,2,7,"Personality traits are most often assessed using global self-reports of one's general patterns of thoughts, feelings, and behavior. However, recent theories have challenged the idea that …",https://psycnet.apa.org/manuscript/2017-10511-001.pdf,"https://scholar.google.com/scholar?q=related:EcJ6z3-gEcAJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018",Journal of Personality and Social Psychology,2,JPSP,Y9H6HPAD,/Users/haleylam/Zotero/storage/EFMZW5V8/Finnigan et al. - 2018 - The incremental validity of average state self-reports over global self-reports of personality.pdf,Descriptive/Correlational,NA,individual-level data,"The studies described use observational data from self-reports, informant reports, and experience sampling methods (ESM) to examine correlations and incremental validity between average state self-reports and global self-reports of personality traits. The analyses include correlations, structural equation modeling (SEM), and meta-analyses to assess relationships and predictive validity without experimental manipulation or causal inference methods. The focus is on describing associations and predictive relationships rather than establishing causality or developing new methods.",0,0,1,0,0,0,0
7,MISSING_DOI_a configural approach to aspirations the social br,A configural approach to aspirations: The social breadth of aspiration profiles predicts well-being over and above the intrinsic and extrinsic aspirations that comprise …,A configural approach to aspirations: The social breadth of aspiration profiles,27,"EL Bradshaw, BK Sahdra, J Ciarrochi…",2021,… personality and social …,psycnet.apa.org,https://psycnet.apa.org/journals/psp/120/1/226/,"https://scholar.google.com/scholar?cites=4819240021695277410&as_sdt=2005&sciodt=0,5&hl=en",76,TRUE,NA,27,6.75,9,3,4,"We conducted a person-centered analysis of the Aspiration Index to identify subgroups that differ in the levels of their specific (wealth, fame and image, personal growth, relationships …",https://josephciarrochi.com/wp-content/uploads/2022/08/bradshaw-et-al-configural-approach-to-aspirations-jpsp.pdf,"https://scholar.google.com/scholar?q=related:Yil-LERh4UIJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021",Journal of Personality and Social Psychology,7,JPSP,CY48B458,/Users/haleylam/Zotero/storage/TI37LVRG/Bradshaw et al. - 2021 - A configural approach to aspirations The social b.pdf,Descriptive/Correlational,NA,individual-level data,"The study uses large individual-level survey data from multiple samples to identify latent profiles of aspirations using bifactor exploratory structural equation modeling (B-ESEM) and latent profile analysis (LPA). The research primarily describes and predicts relationships between aspiration profiles and well-being outcomes without manipulating variables or employing causal inference methods such as diff-in-diffs, IV, or regression discontinuity. The focus is on describing heterogeneity in aspirations and their association with well-being, anxiety, and demographic variables, using person-centered and variable-centered statistical methods. There is no experimental manipulation or use of quasi-experimental causal inference techniques.",0,0,1,0,0,0,0
8,MISSING_DOI_a dimensional taxonomy of perceived characteristic,A dimensional taxonomy of perceived characteristics of major life events.,A dimensional taxonomy of perceived characteristics of major life events.,126,"M Luhmann, I Fassbender, M Alcock…",2021,… and Social Psychology,psycnet.apa.org,https://psycnet.apa.org/journals/psp/121/3/633/,"https://scholar.google.com/scholar?cites=8157116388691657075&as_sdt=2005&sciodt=0,5&hl=en",3,TRUE,NA,126,31.5,42,3,4,"Major life events (MLEs) are studied in many different areas in psychology such as personality development, clinical psychology, or posttraumatic growth. In all of these areas …",https://psyarxiv.com/yx5pk/download?format=pdf,"https://scholar.google.com/scholar?q=related:c8F7IyPmM3EJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021",Journal of Personality and Social Psychology,8,JPSP,M44IQKZQ,/Users/haleylam/Zotero/storage/UP5PXNN9/Luhmann et al. - 2021 - A dimensional taxonomy of perceived characteristic.pdf,Descriptive/Correlational,Methodological,individual-level data,"The article presents a dimensional taxonomy of perceived characteristics of major life events (MLEs) based on self-reported data from individuals recalling personal events. The research involves exploratory and confirmatory factor analyses, item response theory, and questionnaire development (Event Characteristics Questionnaire, ECQ) to describe and measure event characteristics. There is no manipulation of variables or causal inference methods such as diff-in-diffs or IV. The study focuses on describing and predicting relationships between perceived event characteristics and psychological outcomes (e.g., subjective well-being) without employing specific causal inference designs. Additionally, the study develops and evaluates measurement methods, qualifying it also as methodological research.",0,0,1,0,0,0,0
9,MISSING_DOI_a direct comparison of the day reconstruction meth,A direct comparison of the day reconstruction method (DRM) and the experience sampling method (ESM).,A direct comparison of the day reconstruction method (DRM) and the experience sa,59,"RE Lucas, C Wallsworth, I Anusic…",2021,… and social psychology,psycnet.apa.org,https://psycnet.apa.org/record/2020-20115-001,"https://scholar.google.com/scholar?cites=9076165441931862236&as_sdt=2005&sciodt=0,5&hl=en",47,TRUE,NA,59,14.75,19.666666666666668,3,4,The day reconstruction method (DRM) is an approach to measuring well-being that is designed to approximate the rich data that can be obtained from intensive repeated …,https://psycnet.apa.org/manuscript/2020-20115-001.pdf,"https://scholar.google.com/scholar?q=related:3GAGwWEE9X0J:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021",Journal of Personality and Social Psychology,9,JPSP,LM356RT4,/Users/haleylam/Zotero/storage/QFEMZJQI/Lucas et al. - 2021 - A direct comparison of the day reconstruction meth.pdf,Methodological,Descriptive/Correlational,individual-level data,"The article compares two methods for measuring well-being: the Day Reconstruction Method (DRM) and the Experience Sampling Method (ESM). It involves empirical data collection from participants using both methods and statistical analyses to assess agreement and differences between them. The focus is on evaluating and validating measurement methods rather than manipulating variables or inferring causality. The study uses individual-level data from repeated measures within participants. The analyses include correlations, kappa coefficients, and multilevel models to assess agreement and differences in affect and situational reports across methods, which aligns with methodological research aimed at improving or evaluating measurement techniques. The study also includes descriptive and correlational analyses of the data but does not employ experimental manipulation or causal inference methods.",0,0,0,0,1,0,0
10,MISSING_DOI_a dual process social psychological model of corru,A dual process social psychological model of corrupt intention and attitudes toward corrupt people.,A dual process social psychological model of corrupt intention and attitudes tow,3,"F Vilanova, TL Milfont, AB Costa",2022,Journal of Personality and Social …,psycnet.apa.org,https://psycnet.apa.org/record/2022-45141-001,"https://scholar.google.com/scholar?cites=13310610618900231926&as_sdt=2005&sciodt=0,5&hl=en",143,TRUE,NA,3,1,1,3,3,"Preliminary studies indicate that ideologies and worldviews are key in understanding the motivation behind corruption. Yet, there is no model seeking to explain corrupt intention that …",https://repositorio.pucrs.br/dspace/bitstream/10923/23919/2/A_dual_process_social_psychological_model_of_corrupt_intention_and_attitudes_toward_corrupt_people.pdf,"https://scholar.google.com/scholar?q=related:9jYX09XJuLgJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022",Journal of Personality and Social Psychology,10,JPSP,NP5T3A4R,/Users/haleylam/Zotero/storage/MBUQ94QL/Vilanova et al. - 2022 - A dual process social psychological model of corru.pdf,Experimental,Causal Inference,individual-level data,"The article reports a series of six studies including experimental manipulation (Study 5 experimentally increased dangerous worldview beliefs to amplify corrupt intention), preregistered hypotheses tested across multiple studies, and use of individual-level survey and behavioral data. The research involves manipulation of variables (e.g., experimental increase of DWB) and also uses quasi-experimental methods such as cross-cultural replication with World Values Survey data (Study 3), which aligns with causal inference methods. The focus on individual-level psychological constructs (SDO, RWA, corrupt intention, attitudes) and their measurement through self-report and behavioral tasks confirms individual-level data usage.",1,0,0,0,0,0,0
11,MISSING_DOI_a matter of flexibility changing outgroup attitude,A matter of flexibility: Changing outgroup attitudes through messages with negations.,A matter of flexibility: Changing outgroup attitudes through messages with negat,18,"K Winter, A Scholl, K Sassenberg",2021,Journal of Personality and …,psycnet.apa.org,https://psycnet.apa.org/record/2020-47031-001,"https://scholar.google.com/scholar?cites=16979521046005826358&as_sdt=2005&sciodt=0,5&hl=en",81,TRUE,NA,18,4.5,6,3,4,"Attitudes toward outgroups are an important determinant of peaceful coexistence in diverse societies, but it is difficult to improve them. The current research studies the impact of …",NA,"https://scholar.google.com/scholar?q=related:NkNyE25go-sJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021",Journal of Personality and Social Psychology,11,JPSP,32X2AZ47,/Users/haleylam/Zotero/storage/34X2Y7HE/Winter et al. - 2021 - A matter of flexibility Changing outgroup attitud.pdf,Experimental,NA,individual-level data,"The article reports on multiple preregistered experimental studies manipulating message type (negations vs. affirmations vs. control) to assess their causal effect on outgroup trust and cognitive flexibility. The design includes random assignment to conditions, measurement of initial attitudes as moderators, and mediation analyses to test psychological processes, consistent with experimental research involving manipulation of independent variables and individual-level data.",1,0,0,0,0,0,0
12,MISSING_DOI_a matter of taste gustatory sensitivity predicts p,A matter of taste: Gustatory sensitivity predicts political ideology.,A matter of taste: Gustatory sensitivity predicts political ideology.,11,"BC Ruisch, RA Anderson, Y Inbar…",2021,… of Personality and Social …,psycnet.apa.org,https://psycnet.apa.org/record/2020-65099-001,"https://scholar.google.com/scholar?cites=13848109351951860586&as_sdt=2005&sciodt=0,5&hl=en",103,TRUE,NA,11,2.75,3.6666666666666665,3,4,"Previous research has shown that political attitudes are highly heritable, but the proximal physiological mechanisms that shape ideology remain largely unknown. Based on work …",https://psycnet.apa.org/manuscript/2020-65099-001.pdf,"https://scholar.google.com/scholar?q=related:agPbzRVeLsAJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021",Journal of Personality and Social Psychology,12,JPSP,QW9TZD8D,/Users/haleylam/Zotero/storage/IVAT6R2K/Ruisch et al. - 2021 - A matter of taste Gustatory sensitivity predicts .pdf,Descriptive/Correlational,NA,individual-level data,"The article reports on four studies examining associations between individual-level taste sensitivity measures (e.g., PROP/PTC sensitivity, fungiform papilla density) and political ideology using correlational analyses such as linear regression. The research is observational and does not involve manipulation of variables or causal inference methods like diff-in-diffs or IV. The studies include preregistered analyses, control variables, and meta-analytic aggregation of effect sizes, but remain correlational in nature without experimental or quasi-experimental design.",0,0,1,0,0,0,0
13,MISSING_DOI_a megaanalysis of personality prediction robustnes,A mega-analysis of personality prediction: Robustness and boundary conditions.,A mega-analysis of personality prediction: Robustness and boundary conditions.,49,"ED Beck, JJ Jackson",2022,… of Personality and Social Psychology,psycnet.apa.org,https://psycnet.apa.org/record/2022-31794-002,"https://scholar.google.com/scholar?cites=3738193415291227779&as_sdt=2005&sciodt=0,5&hl=en",18,TRUE,NA,49,16.333333333333332,24.5,2,3,"Decades of studies identify personality traits as prospectively associated with life outcomes. However, previous investigations of personality characteristic-outcome associations have …",https://psycnet.apa.org/manuscript/2022-31794-002.pdf,"https://scholar.google.com/scholar?q=related:g04j_Bq74DMJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022",Journal of Personality and Social Psychology,13,JPSP,7JKFM7FW,/Users/haleylam/Zotero/storage/MKUQ6ICP/Beck and Jackson - 2022 - A mega-analysis of personality prediction Robustn.pdf,Methodological,Causal Inference,individual-level data,"The study uses a mega-analytic framework combining individual participant data from 10 longitudinal panel studies (171,395 individuals) to examine personality-outcome associations. It employs advanced methodological approaches such as propensity score matching to approximate random assignment and reduce selection bias, and specification curve analysis to systematically test robustness across covariate choices and model specifications. These methods aim to improve estimation and inference about the associations, focusing on methodological rigor and robustness rather than purely descriptive or experimental manipulation. The use of propensity score matching and specification curve analysis aligns with causal inference techniques, but the primary focus is on methodological evaluation and improvement of these approaches in personality research.",0,0,0,0,1,0,0
14,MISSING_DOI_a metaanalysis of procedures to change implicit me,A meta-analysis of procedures to change implicit measures.,A meta-analysis of procedures to change implicit measures.,716,"PS Forscher, CK Lai, JR Axt, CR Ebersole…",2019,… personality and social …,psycnet.apa.org,https://psycnet.apa.org/record/2019-31306-001,"https://scholar.google.com/scholar?cites=3258490864008110900&as_sdt=2005&sciodt=0,5&hl=en",1,TRUE,NA,716,119.33333333333331,179,4,6,"Using a novel technique known as network meta-analysis, we synthesized evidence from 492 studies (87,418 participants) to investigate the effectiveness of procedures in changing …",https://psycnet.apa.org/manuscript/2019-31306-001.pdf,"https://scholar.google.com/scholar?q=related:NCMPNS18OC0J:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019",Journal of Personality and Social Psychology,14,JPSP,KB7BK4T5,/Users/haleylam/Zotero/storage/44X3BHGS/Forscher et al. - 2019 - A meta-analysis of procedures to change implicit measures.pdf,Review/Meta-analysis,Descriptive/Correlational,individual-level data,"The article is a meta-analytic review synthesizing evidence from 492 studies with 87,418 participants to investigate the effectiveness of procedures to change implicit measures. It uses network meta-analysis, a statistical method to combine findings from multiple empirical studies, which fits the 'Review/Meta-analysis' category. The study analyzes individual-level data aggregated from many experiments. Although it examines relationships between variables and effect sizes, it does not itself conduct new experimental manipulation or causal inference analyses, so 'Descriptive/Correlational' is a secondary applicable category.",0,0,0,0,0,1,0
